company_id,company,industry,public_strength,hypothesis_id,question,baseline_metric,unit,observed_value,measurement_plan,formula,secondary_measurements,possible_contribution,acceptance_boundary,sources,status
firma-consulting-group-dba-q-gaas,Firma consulting group,Professional Services,"Its public offering connects marketing, sales leadership and financial/technology operations through one consulting framework.",firma-consulting-group-dba-q-gaas-h2,Would a metric-definition checklist make a proposed growth experiment easier to evaluate?,"Experiments with a defined population, baseline and success criterion before launch",percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A one-page experiment brief records channel, audience, denominator, budget assumption and owner-approved stopping rule.",No predicted returns or automatic advertising spend.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-firma-consulting-group-dba-q-gaas | https://firmaconsulting.co/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
firma-consulting-group-dba-q-gaas,Firma consulting group,Professional Services,"Its public offering connects marketing, sales leadership and financial/technology operations through one consulting framework.",firma-consulting-group-dba-q-gaas-h3,Could a deliverable-to-milestone check make a longer implementation plan easier to review?,"Milestones with an owner, prerequisite and acceptance evidence",percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A roadmap validator checks the existing plan for missing dependencies and unassigned deliverables.,Do not alter client commitments or publish progress without owner confirmation.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-firma-consulting-group-dba-q-gaas | https://firmaconsulting.co/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
fizzy-mixology,Fizzy Mixology,Food and Beverage,"The cohort describes tailored mobile beverage service for brands, venues and events.",fizzy-mixology-h1,Could a complete event brief reduce back-and-forth before a beverage-service quote?,Event inquiries with complete owner-required brief fields,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A local event worksheet records guest-count range, service duration, venue facilities and requested beverage formats.","No automatic quote, alcohol-service determination or booking commitment.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-fizzy-mixology | http://fizzymixology.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
fizzy-mixology,Fizzy Mixology,Food and Beverage,"The cohort describes tailored mobile beverage service for brands, venues and events.",fizzy-mixology-h2,Would an ingredient plan tied to the approved menu make preparation quantities easier to review?,Difference between planned and used ingredient quantities per event,units/event,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A recipe-scaling worksheet uses owner-entered serving counts and yields, with explicit contingency assumptions.","The operator confirms all food handling, allergens and alcohol-service requirements.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-fizzy-mixology | http://fizzymixology.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
fizzy-mixology,Fizzy Mixology,Food and Beverage,"The cohort describes tailored mobile beverage service for brands, venues and events.",fizzy-mixology-h3,Could a venue-readiness checklist reduce day-of setup surprises?,"Events with venue access, power, water and equipment requirements confirmed",percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An editable checklist tracks venue confirmations, equipment ownership and setup windows before the event.",No electrical or food-safety certification; unresolved items remain open.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-fizzy-mixology | http://fizzymixology.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
fox-force,Fox Force,Professional Services,The foundation presents practical women's leadership and mentorship programs informed by service experience.,fox-force-h1,"Could a program-readiness checklist make instructor, venue and participant communications easier to coordinate?",Planned events with all owner-defined readiness items confirmed,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A fictional event board tracks instructor availability, venue needs, materials and communications ownership.","No tactical instruction, participant risk scoring or automatic communications.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-fox-force | https://www.foxforce55.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
fox-force,Fox Force,Professional Services,The foundation presents practical women's leadership and mentorship programs informed by service experience.,fox-force-h2,Would explicit entity tags help keep administrative records routed to the correct organization?,Sample administrative records assigned to an owner-confirmed entity,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A synthetic record template separates foundation and company program ownership and records unresolved allocations.,"No legal, tax or accounting allocation decisions.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-fox-force | https://www.foxforce55.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
fox-force,Fox Force,Professional Services,The foundation presents practical women's leadership and mentorship programs informed by service experience.,fox-force-h3,Could an aggregate program-evidence template simplify preparation of partner reports?,Report entries supported by approved attendance and activity records,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A report worksheet links aggregate participation, delivered sessions and participant-consented feedback to source records.","No invented impact, safety outcomes or fundraising claims; preserve missing feedback.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-fox-force | https://www.foxforce55.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
glow-up-sports,Glow Up Sports,Entertainment,"Glow Up Sports brings lights, equipment, staff, and games to mobile glow-in-the-dark events. Its packages define player capacity, play duration, and site requirements.",glow-up-sports-h1,"Do venue darkness, power access, or setup readiness cause last-minute clarification or event delays?",Events requiring a preventable site-readiness correction,percent of events,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * events with an owner-classified readiness correction / eligible events,,A pre-event readiness checklist that turns the existing venue instructions into customer-confirmed fields and flags missing answers.,Staff verifies site safety and suitability; preserve power and setup requirements rather than relaxing them.,https://www.playglowupsports.com/ | https://www.playglowupsports.com/packages | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
glow-up-sports,Glow Up Sports,Entertainment,"Glow Up Sports brings lights, equipment, staff, and games to mobile glow-in-the-dark events. Its packages define player capacity, play duration, and site requirements.",glow-up-sports-h2,Can packing and lighting-configuration planning reduce setup effort while keeping the chosen games and capacity?,Setup labor for a comparable event package,staff-minutes/event,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.","sum(setup minutes for each staff member), grouped by package and site type",,"A deterministic equipment checklist based on approved package, player count, and game combination; AI only drafts a readable run sheet.","Retain staff sign-off, equipment counts, and the site's published game-configuration restrictions.",https://www.playglowupsports.com/ | https://www.playglowupsports.com/packages | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
glow-up-sports,Glow Up Sports,Entertainment,"Glow Up Sports brings lights, equipment, staff, and games to mobile glow-in-the-dark events. Its packages define player capacity, play duration, and site requirements.",glow-up-sports-h3,"Can event quotes expose the full travel, labor, consumables, and power cost before a booking is accepted?",Owner-supplied cost coverage in an event estimate,percent of estimates,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * estimates containing all required cost categories / sampled estimates,,"An event-cost worksheet with separate staff time, distance, gear, consumables, and generator/facility-power fields; calculate margin only from owner-entered amounts.",No assumed costs or automatic pricing; electricity and fuel stay separate and require measurement before any energy-saving claim.,https://www.playglowupsports.com/ | https://www.playglowupsports.com/packages | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
govfetchrai-note-change-of-our-official-name-from-application,GovFetchr.AI,IT / Technology,"Its public workflow links government-document processing with searchable, resident-facing information.",govfetchrai-note-change-of-our-official-name-from-application-h1,Could a source-and-version check reduce ambiguity when an ordinance or agenda is replaced?,Published test summaries linked to the current approved source version,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An offline document manifest distinguishes current, superseded and withdrawn sample documents and tests whether summaries cite them correctly.",Use public or synthetic documents; no autonomous publication or interpretation of legal obligations.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-govfetchrai-note-change-of-our-official-name-from-application | https://www.govfetchr.ai/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
govfetchrai-note-change-of-our-official-name-from-application,GovFetchr.AI,IT / Technology,"Its public workflow links government-document processing with searchable, resident-facing information.",govfetchrai-note-change-of-our-official-name-from-application-h2,Would an exception queue make low-confidence OCR easier for staff to review?,Owner-reviewed fields correctly extracted from a fixed document sample,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A small benchmark compares extracted dates, titles and agenda items against human-labeled public pages and flags uncertain text.",No invented text; unreadable content must remain unresolved.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-govfetchrai-note-change-of-our-official-name-from-application | https://www.govfetchr.ai/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
govfetchrai-note-change-of-our-official-name-from-application,GovFetchr.AI,IT / Technology,"Its public workflow links government-document processing with searchable, resident-facing information.",govfetchrai-note-change-of-our-official-name-from-application-h3,Could a resident-task checklist reveal navigation steps that need clarification?,Test users completing an owner-selected information-finding task,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A manual usability worksheet tests a fixed set of public information tasks, including keyboard-only navigation and source access.",Do not claim accessibility compliance from this limited check.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-govfetchrai-note-change-of-our-official-name-from-application | https://www.govfetchr.ai/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
gutless-topical-supplements,Gutless Topical Supplements,Healthcare,"Gutless sells branded topical balms, oils, and serums through its online store. Its existing business assets include a product catalog and educational content; product efficacy and absorption claims were not validated.",gutless-topical-supplements-h1,Could product descriptions stay consistent with an owner-approved evidence and wording register?,Product-copy statements missing an approved source or reviewer,percent of checked statements,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * factual product statements lacking required source/review / checked factual statements,,"A SKU-to-approved-copy register with source, version, reviewer, and unresolved questions; AI highlights discrepancies for qualified review.","Do not generate medical, absorption, safety, deficiency, or treatment claims; marketing testimonials are not efficacy evidence.",https://gutlesstopicals.com/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
gutless-topical-supplements,Gutless Topical Supplements,Healthcare,"Gutless sells branded topical balms, oils, and serums through its online store. Its existing business assets include a product catalog and educational content; product efficacy and absorption claims were not validated.",gutless-topical-supplements-h2,Could order preparation catch product or quantity mismatches before shipment?,Owner-confirmed pick/pack discrepancies,discrepancies/100 orders,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * verified product or quantity mismatches / sampled fulfilled orders,,"A local order-to-pack checklist using approved SKU identifiers, quantity, and batch fields where those already exist.","No purchase, fulfillment action, or batch-safety decision is automated; protect customer details and preserve actual exceptions.",https://gutlesstopicals.com/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
gutless-topical-supplements,Gutless Topical Supplements,Healthcare,"Gutless sells branded topical balms, oils, and serums through its online store. Its existing business assets include a product catalog and educational content; product efficacy and absorption claims were not validated.",gutless-topical-supplements-h3,Could routine order-support answers be drafted faster from current store policies?,Draft-and-review time for a non-medical support response,minutes/response,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",total drafting plus review minutes / approved order-support responses,,"A source-linked helper limited to shipping, returns, order status, and other owner-approved store information.","Escalate health, reaction, and product-use questions to the existing qualified process; no personalized supplement recommendations.",https://gutlesstopicals.com/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
happy-overall,Happy Overall,Retail,Happy Overall presents made-to-order cotton overalls with artist collaborations and distinctive prints. Its current website centers a launch waitlist and personal expression through clothing.,happy-overall-h1,"Can consented waitlist feedback clarify which fit, print, and timing questions need answers before launch?",Qualified waitlist responses with complete preference information,percent of responses,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * responses with agreed preference fields complete / consented responses,,"An optional owner-approved preference form and de-identified tally for fit needs, print interest, and expected availability.",Do not turn interest into orders or assumed demand; no automated marketing without the owner's approved audience and consent.,https://happyoverall.com/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
happy-overall,Happy Overall,Retail,Happy Overall presents made-to-order cotton overalls with artist collaborations and distinctive prints. Its current website centers a launch waitlist and personal expression through clothing.,happy-overall-h2,Could clearer fit and care information reduce repeat questions and avoidable order corrections?,Fit/care questions requiring individual staff handling,questions/eligible inquiry,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",staff-handled fit/care questions / eligible customer inquiries,,"Draft a product-specific size and care FAQ from approved measurements and instructions, with missing fields flagged.",Never invent garment dimensions or care claims; retain unresolved fit questions for a person.,https://happyoverall.com/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
happy-overall,Happy Overall,Retail,Happy Overall presents made-to-order cotton overalls with artist collaborations and distinctive prints. Its current website centers a launch waitlist and personal expression through clothing.,happy-overall-h3,Can made-to-order production promises be tracked without creating excess inventory commitments?,Accepted orders due by the observation cutoff completed within their confirmed production window,percent of all accepted orders due by cutoff,UNKNOWN,"Include every accepted order due in the frozen observation window; separately report on-time completed, late completed, overdue open, and cancelled orders with reasons. Do not remove failed commitments from the denominator.",100 * accepted orders due by cutoff and completed by their promised date / all accepted orders due by cutoff; report undefined when denominator is zero,Accepted orders with missing or unconfirmed promised dates [orders]; unknown,"A small order-status sheet linking approved order, material availability, production slot, and promised date; hypothetical examples until real orders exist.",Owner controls commitments and artist rights; do not assume current revenue or production capacity from the roster's stage label. Retain overdue and unfinished orders; do not improve the percentage by dropping cancellations or uncompleted orders. Report missing promised dates and do not hide them by excluding those orders from the service review.,https://happyoverall.com/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
holastra,Holastra,Healthcare,The cohort identifies a specific market: administrative automation for skilled nursing facilities.,holastra-h1,Could an administrative task inventory identify one repetitive workflow suitable for a small pilot?,Staff minutes per correctly completed owner-selected administrative task,minutes/task,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A worksheet records task steps, inputs, handoffs, exceptions and verification using a fictional facility example.","The facility owner defines scope; no resident data, clinical decisions or billable-service changes.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-holastra | https://holastra.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
holastra,Holastra,Healthcare,The cohort identifies a specific market: administrative automation for skilled nursing facilities.,holastra-h2,Would a field-level export checklist reduce re-entry when approved administrative systems exchange records?,Required administrative fields transferred without manual correction,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A synthetic schema checker compares owner-approved source and destination field definitions and exposes missing mappings.,No live integrations or assumption that systems allow the transfer.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-holastra | https://holastra.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
holastra,Holastra,Healthcare,The cohort identifies a specific market: administrative automation for skilled nursing facilities.,holastra-h3,Could a review queue make uncertain automation outputs easier to resolve before they are used?,Outputs with a recorded verification result before downstream use,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A mock exception log records source, rule, uncertainty, responsible reviewer and final disposition.","No clinical prioritization, reimbursement coding or unattended workflow execution.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-holastra | https://holastra.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
hopeconnect-health,HopeConnect Health,Healthcare,"Its public referral workflow makes matching criteria, readiness and confirmed handoffs visible to coordinators.",hopeconnect-health-h1,Could a referral-event QA check distinguish an actual completed handoff from a missing or out-of-order update?,"Referrals with a valid, fully sourced event sequence",percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A local synthetic-event validator checks allowed transitions, timestamps and explicit completion evidence while retaining unresolved cases.","No PHI, clinical triage or inferred patient attendance; use fictional IDs.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-hopeconnect-health | https://hopeconnecthealth.com/ | https://www.hopeconnecthealth.com/solutions/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
hopeconnect-health,HopeConnect Health,Healthcare,"Its public referral workflow makes matching criteria, readiness and confirmed handoffs visible to coordinators.",hopeconnect-health-h2,Would a freshness register make provider-availability uncertainty easier for coordinators to see?,Provider-availability entries with a confirmed update time within the owner-approved interval,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A mock availability ledger records source, last confirmation, expiry and unknown status before a human coordinator reviews a match.","Never infer availability, credentials or insurance participation; no automatic referral routing.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-hopeconnect-health | https://hopeconnecthealth.com/ | https://www.hopeconnecthealth.com/solutions/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
hopeconnect-health,HopeConnect Health,Healthcare,"Its public referral workflow makes matching criteria, readiness and confirmed handoffs visible to coordinators.",hopeconnect-health-h3,Could a readiness exception summary reduce repeated requests for administrative information?,Requests repeated for the same owner-defined missing administrative item,requests/referral,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A synthetic checklist summarizes missing information and assigns a reviewer while separating required confirmation from unknown status.,Do not block urgent care or decide consent sufficiency; the starter is nonclinical and contains no patient records.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-hopeconnect-health | https://hopeconnecthealth.com/ | https://www.hopeconnecthealth.com/solutions/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
hot-mess-inc,Hot Mess,Food and Beverage,Hot Mess describes commercial-kitchen fire-safety and maintenance services. The founder's public profile emphasizes commercial-kitchen operating experience.,hot-mess-inc-h1,Could a more complete site brief reduce pre-visit back-and-forth for commercial-kitchen service?,Clarification contacts needed before a visit can be scheduled,contacts/visit,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",pre-visit clarification contacts / eligible scheduled visits,,"A structured site intake sheet for access windows, equipment identifiers, available photos, and the owner's requested service scope.","The technician approves the scope; AI cannot certify equipment condition, fire safety, or compliance.",https://ec.co/takeoff-fall-2026-accelerator-cohort/ | https://www.linkedin.com/in/caraschmitzhotmessinc | https://winahotmess.com/ | https://maps.app.goo.gl/EGfwjVBDFdKx5o968,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
hot-mess-inc,Hot Mess,Food and Beverage,Hot Mess describes commercial-kitchen fire-safety and maintenance services. The founder's public profile emphasizes commercial-kitchen operating experience.,hot-mess-inc-h2,Does collecting job photos and notes into a customer service record consume avoidable time?,Time to prepare a complete service record after a visit,minutes/record,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",median(record_ready_at - technician_documentation_start_at),,Sort owner-provided photos by job ID and draft a factual work-record template with a checklist of missing evidence.,Preserve original photos and timestamps; a qualified person verifies descriptions and signs any required record.,https://ec.co/takeoff-fall-2026-accelerator-cohort/ | https://www.linkedin.com/in/caraschmitzhotmessinc | https://winahotmess.com/ | https://maps.app.goo.gl/EGfwjVBDFdKx5o968,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
hot-mess-inc,Hot Mess,Food and Beverage,Hot Mess describes commercial-kitchen fire-safety and maintenance services. The founder's public profile emphasizes commercial-kitchen operating experience.,hot-mess-inc-h3,Could recurring service scheduling reduce travel or missed renewal follow-up while keeping service requirements intact?,Travel distance per completed comparable visit,miles/visit,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.","logged route miles / completed visits, stratified by service area and job type",,A read-only planning sheet that groups owner-approved appointment windows geographically and flags renewal dates for review.,"Do not change required service intervals, dispatch appointments, or treat a route estimate as measured fuel or electrical savings.",https://ec.co/takeoff-fall-2026-accelerator-cohort/ | https://www.linkedin.com/in/caraschmitzhotmessinc | https://winahotmess.com/ | https://maps.app.goo.gl/EGfwjVBDFdKx5o968,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
incourage-enterprises,INcourage Enterprises,Education,"The roster presents a women-focused combination of coaching, education, technology, and community.",incourage-enterprises-h1,Could initial coaching inquiries require repeated clarification before the right program is identified?,Clarification rounds before a staff-approved program match,rounds per inquiry,UNKNOWN,"Count clarification exchanges in an owner-approved, anonymized sample, including inquiries that receive no match.",,,A structured intake form plus a draft summary that maps stated goals to an owner-approved program catalog.,Coach reviews every match; do not infer mental-health conditions or promise business income.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-incourage-enterprises | https://www.facebook.com/share/1DCYEsfkUa/?mibextid=wwXIfr,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
incourage-enterprises,INcourage Enterprises,Education,"The roster presents a women-focused combination of coaching, education, technology, and community.",incourage-enterprises-h2,Could participants receive inconsistent versions of course or coaching resources?,Outdated or conflicting resource references,references per reviewed resource set,UNKNOWN,Have the owner identify current approved material and audit links from a bounded sample of lessons.,,,"A searchable, versioned resource index that answers with exact approved-document citations and abstains when no source exists.",Keep coaching judgments with the coach; do not create unsupported instructional or psychological claims.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-incourage-enterprises | https://www.facebook.com/share/1DCYEsfkUa/?mibextid=wwXIfr,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
incourage-enterprises,INcourage Enterprises,Education,"The roster presents a women-focused combination of coaching, education, technology, and community.",incourage-enterprises-h3,Could opt-in community follow-ups depend on manual tracking across several channels?,Staff time preparing an approved follow-up batch,minutes per batch,UNKNOWN,Time the current preparation process and count missed or duplicate drafts in the same sample.,,,A checklist that groups consented follow-up tasks and drafts messages for staff review.,No automatic sending or collection of sensitive personal stories; respect opt-out status.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-incourage-enterprises | https://www.facebook.com/share/1DCYEsfkUa/?mibextid=wwXIfr,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
itty-bitty-city-at-project-reflect-inc,Itty Bitty City at Project Reflect,Education,Project Reflect publicly connects Itty Bitty City early learning with school-age programs and family resources.,itty-bitty-city-at-project-reflect-inc-h1,Could families need several exchanges to determine which program and application route applies?,Administrative clarification exchanges before routing,exchanges per inquiry,UNKNOWN,"Review an approved sample of deidentified inquiries and record correct program routing, including unresolved cases.",,,An approved-program FAQ and form checklist that drafts routing explanations with source links.,Staff approves eligibility and enrollment; use synthetic examples first and avoid profiling children.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-itty-bitty-city-at-project-reflect-inc | https://www.projectreflect.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
itty-bitty-city-at-project-reflect-inc,Itty Bitty City at Project Reflect,Education,Project Reflect publicly connects Itty Bitty City early learning with school-age programs and family resources.,itty-bitty-city-at-project-reflect-inc-h2,"Could capacity, schedules, and waitlist status be difficult to reconcile between program records?",Unreconciled capacity or schedule entries,entries per weekly review,UNKNOWN,"Compare the same dated enrollment, schedule, and capacity snapshots using existing staff rules.",,,A read-only reconciliation sheet that highlights conflicting counts and missing timestamps.,No automatic enrollment decisions or changes to staff-to-child constraints; authorized staff resolves conflicts.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-itty-bitty-city-at-project-reflect-inc | https://www.projectreflect.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
itty-bitty-city-at-project-reflect-inc,Itty Bitty City at Project Reflect,Education,Project Reflect publicly connects Itty Bitty City early learning with school-age programs and family resources.,itty-bitty-city-at-project-reflect-inc-h3,Could producing consistent family notices across programs take repeated editing?,Staff editing time per approved family notice,minutes per notice,UNKNOWN,Time drafting and review of the same notice types; record factual and translation corrections separately.,,,"A template assistant using approved dates, program policies, and staff-reviewed translation drafts.",Staff verifies every notice; exclude student identifiers from general-purpose AI tools.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-itty-bitty-city-at-project-reflect-inc | https://www.projectreflect.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
learnkairo,LearnKairo,Education,The roster describes a tutor designed around guided reasoning and checks for understanding.,learnkairo-h1,Could tutoring hints reveal the answer too early or fail to follow an educator's intended sequence?,Hints that violate an educator-approved guidance rubric,violations per fixed prompt set,UNKNOWN,"An educator scores existing responses to a frozen set of synthetic tasks, retaining all failures and abstentions.",,,A regression evaluation that checks hint sequencing against a teacher-defined rubric and links flagged examples.,No claim of learning gains; rubric and answer key require educator approval.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-learnkairo | https://www.learnkairo.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
learnkairo,LearnKairo,Education,The roster describes a tutor designed around guided reasoning and checks for understanding.,learnkairo-h2,Could repeated misunderstanding go unrecognized before a human needs to intervene?,Missed or unnecessary escalation flags on labeled scenarios,flags per scenario set,UNKNOWN,Have educators label synthetic stuck-learner dialogues and score the current escalation policy.,,,A bounded review queue for possible repeated-error patterns with an explanation of the trigger.,"No diagnosis, autonomous grading, or student ability ranking; human review determines support.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-learnkairo | https://www.learnkairo.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
learnkairo,LearnKairo,Education,The roster describes a tutor designed around guided reasoning and checks for understanding.,learnkairo-h3,Could progress summaries overstate understanding when they rely on incomplete activity logs?,Unsupported statements in a progress summary,statements per reviewed summary,UNKNOWN,Compare summary claims with source events in a synthetic or approved deidentified sample.,,,"A citation-first summary that distinguishes completed activity, observed checks, missing data, and uncertainty.",No inference of mastery from engagement alone; parent or educator review before use.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-learnkairo | https://www.learnkairo.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
limer,Limer,Food and Beverage,Limer's public presentation has a clear non-sweet lime identity and a channel for product and pop-up updates.,limer-h1,"Could pop-up stock, samples, and returned units require manual reconciliation?",Unexplained unit difference after an event,units per event,UNKNOWN,"Reconcile starting units, sales, samples, damage, and returns for existing event records without imputing missing counts.",,,A small inventory reconciliation sheet with anomaly flags and a documented adjustment log.,Owner approves inventory adjustments; no sales or waste reduction is assumed.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-limer | https://www.drinklimer.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
limer,Limer,Food and Beverage,Limer's public presentation has a clear non-sweet lime identity and a channel for product and pop-up updates.,limer-h2,Could retailer or sampling inquiries arrive without the information needed for a useful response?,Clarification steps before an approved wholesale response,steps per inquiry,UNKNOWN,"Review an anonymized sample for quantity, delivery area, timing, and requested product information.",,,A draft wholesale intake checklist and approved-product-information reply assistant.,"No automatic pricing commitments, outbound messages, or retailer orders.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-limer | https://www.drinklimer.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
limer,Limer,Food and Beverage,Limer's public presentation has a clear non-sweet lime identity and a channel for product and pop-up updates.,limer-h3,"Could packaging, retail sheets, and website copy drift from the approved product facts?",Fact mismatches across approved product surfaces,mismatches per review,UNKNOWN,"Owner defines the current product fact sheet, then compares a fixed set of labels and descriptions.",,,"A document comparison tool that flags ingredient, size, storage, or wording differences for review.",Do not infer hydration or health efficacy; only owner-approved product facts enter drafts.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-limer | https://www.drinklimer.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
